Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,2.960000,3.190000,2.960000,3.190000,3.190000,3600
2018-11-06,3.000000,3.170000,3.000000,3.170000,3.170000,1300
2018-11-07,3.000000,3.390000,3.000000,3.070000,3.070000,48800
2018-11-08,3.030000,3.200000,3.030000,3.200000,3.200000,300
2018-11-09,3.110000,3.250000,3.100000,3.250000,3.250000,1200
2018-11-12,3.090000,3.110000,3.000000,3.010000,3.010000,3500
2018-11-13,3.120000,3.120000,2.850000,3.100000,3.100000,2300
2018-11-14,2.860000,3.120000,2.860000,3.120000,3.120000,2500
2018-11-15,3.120000,3.120000,3.120000,3.120000,3.120000,0
2018-11-16,3.100000,3.100000,3.100000,3.100000,3.100000,100
2018-11-19,3.070000,3.070000,3.070000,3.070000,3.070000,100
2018-11-20,3.060000,3.060000,3.060000,3.060000,3.060000,200
2018-11-21,2.960000,3.430000,2.950000,3.280000,3.280000,51800
2018-11-23,3.030000,3.220000,3.000000,3.020000,3.020000,1800
2018-11-26,3.000000,3.300000,3.000000,3.290000,3.290000,3500
2018-11-27,3.200000,3.200000,3.030000,3.030000,3.030000,1900
2018-11-28,3.290000,3.290000,3.290000,3.290000,3.290000,100
2018-11-29,3.190000,3.190000,3.050000,3.090000,3.090000,1100
2018-11-30,3.180000,3.180000,3.180000,3.180000,3.180000,100
2018-12-03,3.180000,3.180000,3.180000,3.180000,3.180000,100
2018-12-04,3.040000,3.290000,3.020000,3.290000,3.290000,1200
2018-12-06,3.290000,3.290000,3.010000,3.150000,3.150000,1700
2018-12-07,3.150000,3.150000,3.150000,3.150000,3.150000,0
2018-12-10,3.050000,3.050000,3.050000,3.050000,3.050000,300
2018-12-11,3.050000,3.050000,2.950000,3.030000,3.030000,2800
2018-12-12,2.990000,3.000000,2.950000,3.000000,3.000000,8100
2018-12-13,2.900000,3.000000,2.900000,3.000000,3.000000,1400
2018-12-14,2.860000,3.000000,2.860000,3.000000,3.000000,200
2018-12-17,2.830000,3.000000,2.830000,3.000000,3.000000,2900
2018-12-18,2.990000,2.990000,2.840000,2.980000,2.980000,21400
2018-12-19,2.830000,2.950000,2.470000,2.900000,2.900000,14600
2018-12-20,2.440000,2.680000,2.150000,2.680000,2.680000,7100
2018-12-21,2.740000,2.740000,2.400000,2.640000,2.640000,7600
2018-12-24,2.590000,2.590000,2.590000,2.590000,2.590000,300
2018-12-26,2.540000,2.550000,2.360000,2.500000,2.500000,3800
2018-12-27,2.500000,2.530000,2.350000,2.490000,2.490000,1600
2018-12-28,2.480000,2.480000,2.480000,2.480000,2.480000,300
2018-12-31,2.400000,2.400000,2.000000,2.120000,2.120000,8600
2019-01-02,2.100000,2.300000,2.100000,2.250000,2.250000,5800
2019-01-03,2.020000,2.390000,2.020000,2.390000,2.390000,3300
2019-01-04,2.130000,2.350000,2.130000,2.350000,2.350000,900
2019-01-07,2.350000,2.350000,2.350000,2.350000,2.350000,0
2019-01-08,2.450000,2.450000,2.450000,2.450000,2.450000,100
2019-01-09,2.430000,2.680000,2.270000,2.500000,2.500000,20900
2019-01-10,2.280000,2.600000,2.280000,2.600000,2.600000,800
2019-01-11,2.600000,2.600000,2.600000,2.600000,2.600000,0
2019-01-14,2.400000,2.800000,2.300000,2.790000,2.790000,15400
2019-01-15,2.860000,2.920000,2.410000,2.680000,2.680000,16100
2019-01-16,2.640000,3.580000,2.480000,2.840000,2.840000,164300
2019-01-17,2.490000,2.740000,2.470000,2.640000,2.640000,34800
2019-01-18,2.500000,2.640000,2.500000,2.640000,2.640000,500
2019-01-22,2.500000,2.570000,2.410000,2.410000,2.410000,3900
2019-01-23,2.600000,2.690000,2.370000,2.370000,2.370000,3600
2019-01-24,2.570000,2.570000,2.570000,2.570000,2.570000,300
2019-01-25,2.500000,2.500000,2.500000,2.500000,2.500000,100
2019-01-28,2.320000,2.470000,2.310000,2.350000,2.350000,3700
2019-01-29,2.280000,2.450000,2.280000,2.310000,2.310000,1700
2019-01-30,2.300000,2.520000,2.300000,2.520000,2.520000,4000
2019-01-31,2.320000,2.360000,2.320000,2.360000,2.360000,2500
2019-02-01,2.380000,2.540000,2.380000,2.540000,2.540000,400
2019-02-04,2.530000,2.530000,2.530000,2.530000,2.530000,900
2019-02-05,2.530000,2.530000,2.530000,2.530000,2.530000,100
2019-02-06,2.300000,2.400000,2.300000,2.400000,2.400000,600
2019-02-07,2.310000,2.490000,2.250000,2.300000,2.300000,66900
2019-02-08,2.260000,2.380000,2.250000,2.380000,2.380000,8700
2019-02-11,2.340000,2.450000,2.250000,2.450000,2.450000,1200
2019-02-12,2.420000,2.420000,2.420000,2.420000,2.420000,300
2019-02-13,2.360000,2.360000,2.360000,2.360000,2.360000,200
2019-02-14,2.300000,2.330000,2.250000,2.260000,2.260000,6100
2019-02-15,2.280000,2.400000,2.250000,2.250000,2.250000,12300
2019-02-19,2.320000,2.320000,2.220000,2.220000,2.220000,3500
2019-02-20,2.220000,2.220000,2.220000,2.220000,2.220000,0
2019-02-21,2.220000,2.220000,2.220000,2.220000,2.220000,0
2019-02-22,2.180000,2.310000,2.180000,2.310000,2.310000,2400
2019-02-25,2.310000,2.310000,2.310000,2.310000,2.310000,100
2019-02-26,2.240000,2.260000,2.220000,2.240000,2.240000,11300
2019-02-27,2.230000,2.230000,2.230000,2.230000,2.230000,800
2019-02-28,2.300000,2.300000,2.210000,2.220000,2.220000,1500
2019-03-01,2.270000,2.400000,2.270000,2.400000,2.400000,11400
2019-03-04,2.270000,2.270000,2.240000,2.240000,2.240000,5200
2019-03-05,2.220000,2.260000,2.220000,2.260000,2.260000,600
2019-03-06,2.420000,2.420000,2.420000,2.420000,2.420000,100
2019-03-07,2.240000,2.240000,2.230000,2.230000,2.230000,900
2019-03-08,2.210000,2.210000,2.150000,2.150000,2.150000,3700
2019-03-11,2.200000,2.210000,2.150000,2.180000,2.180000,10100
2019-03-12,2.150000,2.180000,2.120000,2.180000,2.180000,11300
2019-03-13,2.200000,2.300000,2.200000,2.250000,2.250000,8000
2019-03-14,2.350000,2.350000,2.200000,2.210000,2.210000,6200
2019-03-15,2.190000,2.190000,2.030000,2.100000,2.100000,11300
2019-03-18,2.070000,2.100000,1.780000,1.780000,1.780000,27800
2019-03-19,1.860000,1.980000,1.520000,1.850000,1.850000,27000
2019-03-20,1.810000,1.810000,1.710000,1.810000,1.810000,2200
2019-03-21,1.810000,1.810000,1.750000,1.790000,1.790000,6300
2019-03-22,1.790000,1.830000,1.790000,1.830000,1.830000,500
2019-03-25,1.700000,1.770000,1.550000,1.730000,1.730000,23000
2019-03-26,1.730000,1.730000,1.730000,1.730000,1.730000,0
2019-03-27,1.730000,1.730000,1.730000,1.730000,1.730000,100
2019-03-28,1.730000,2.390000,1.640000,2.200000,2.200000,568600
2019-03-29,1.980000,2.040000,1.580000,1.630000,1.630000,71600
2019-04-01,1.710000,1.790000,1.550000,1.550000,1.550000,17100
